,Group,1. Alpha-tocopherol,2. Daidzin,3. Genistin,4. Phosphatidylcholine,5. 1-Monolinolenin,6. Glyceryl monolinoleate,7. Glycidyl linoleate,8. Mandenol,9. Alpha-LA,10. Gamma-linolenamide,11. Linoleamide MEA
C12-1,1,1061486.6,251774.48,456326.34,802146.94,597118.56,1235626.9,621924.2,2787902.5,3592325.2,0,91924.15
C12-2,1,1823423.6,507745.56,952130,1561929.4,863723.3,1634599.1,833463.8,3761608,4627277,0,152304.69
C12-3,1,1783805.5,515688.66,1027604.2,1262719.9,566974,1235495.9,616432.1,2783574.8,4027528.8,0,119671.14
C24-1,2,873981.9,250462.27,465559.28,760769.56,3620347,8466533,5554786.5,1.46E+07,9503304,24627.684,140354.19
C24-2,2,1070649.9,162892.78,344698.5,1193073.9,3405275.8,8091580,5985997.5,1.53E+07,1.05E+07,30374.357,163698.56
C24-3,2,769109.5,147894.61,291101.53,639320.75,2355640.5,6331773,3680654,1.13E+07,6838897,13924.315,93626.48
C36-1,3,769751.25,4558.805,39568.59,0,338439.5,1010320.6,4993501,1.56E+07,2.12E+07,1629737.6,1680697.5
C36-2,3,814350.7,11708.883,70742.25,115190.92,416923.1,1187807.9,5878755.5,8343666,2.19E+07,2403165,842700.2
C36-3,3,747972,25478.264,116471.59,185940.22,486393.38,1403661.2,6464475,9800328,2.14E+07,1990735.6,502739.97
C48-1,4,960579.06,81234.68,276102.6,31833.059,361604.72,1113395,5493793,1.26E+07,2.53E+07,2538556,2090831.9
C48-2,4,823229.1,15139.223,73879.766,8941.387,231767.9,734446.1,4026092.8,1.41E+07,2.31E+07,1380403.9,3315014.5
C48-3,4,900586,20395.662,81096.01,5114.4897,239009.9,745001.9,3993081,1.14E+07,2.53E+07,1170286,3883099
C60-1,5,537610.75,4001.8142,40068.008,0,159327.62,497624.66,2750475,8065550,1.71E+07,1154917.1,1915631
C60-2,5,1201347.8,23284.285,144921.44,22843.621,190425.16,808623.9,3958351,1.29E+07,2.08E+07,4628761,2670616.8
C60-3,5,1031645.1,138549.38,459045.84,22499.186,159515.61,538780.1,2866175.2,1.42E+07,2.23E+07,1829275.4,4043304.8
C72-1,6,1101747.5,38759.79,205242.95,27319.342,181270.39,709345.06,3524971.8,8742804,1.73E+07,3918189.5,1827504.8
C72-2,6,1641483,31776.064,182446.23,166830.4,162708.88,675699.5,3379191.8,1.42E+07,2.50E+07,3345481.8,3683297.2
C72-3,6,1055505.5,49998.5,215557.8,85278.36,159609.58,555442.2,2898207.5,1.15E+07,2.45E+07,2001796.1,3334766.2
